Format = [x1, y1, x2, y2]
Row 1
Spot  1 :  [0, 1, 20, 29]
Spot  2 :  [20, 1, 40, 29]
Spot  3 :  [40, 1, 60, 29]
Spot  4 :  [60, 1, 80, 29]
Spot  5 :  [80, 1, 100, 29]
Spot  6 :  [100, 1, 120, 29]
Spot  7 :  [120, 1, 140, 29]
Spot  8 :  [140, 1, 160, 29]
Spot  9 :  [160, 1, 180, 29]
Spot  10 :  [180, 1, 200, 29]
Spot  11 :  [200, 1, 220, 29]
Spot  12 :  [220, 1, 240, 29]
Spot  13 :  [240, 1, 260, 29]
Spot  14 :  [260, 1, 280, 29]
Spot  15 :  [280, 1, 300, 29]
Row 2
Spot  1 :  [20, 60, 40, 89]
Spot  2 :  [40, 60, 60, 89]
Spot  3 :  [60, 60, 80, 89]
Spot  4 :  [80, 60, 100, 89]
Spot  5 :  [100, 60, 120, 89]
Spot  6 :  [120, 60, 140, 89]
Spot  7 :  [140, 60, 160, 89]
Spot  8 :  [160, 60, 180, 89]
Spot  9 :  [180, 60, 200, 89]
Spot  10 :  [200, 60, 220, 89]
Spot  11 :  [220, 60, 240, 89]
Spot  12 :  [240, 60, 260, 89]
Spot  13 :  [260, 60, 280, 89]
Row 3
Spot  1 :  [20, 91, 40, 119]
Spot  2 :  [40, 91, 60, 119]
Spot  3 :  [60, 91, 80, 119]
Spot  4 :  [80, 91, 100, 119]
Spot  5 :  [100, 91, 120, 119]
Spot  6 :  [120, 91, 140, 119]
Spot  7 :  [140, 91, 160, 119]
Spot  8 :  [160, 91, 180, 119]
Spot  9 :  [180, 91, 200, 119]
Spot  10 :  [200, 91, 220, 119]
Spot  11 :  [220, 91, 240, 119]
Spot  12 :  [240, 91, 260, 119]
Spot  13 :  [260, 91, 280, 119]
Row 4
Spot  1 :  [20, 150, 40, 179]
Spot  2 :  [40, 150, 60, 179]
Spot  3 :  [60, 150, 80, 179]
Spot  4 :  [80, 150, 100, 179]
Spot  5 :  [100, 150, 120, 179]
Spot  6 :  [120, 150, 140, 179]
Spot  7 :  [140, 150, 160, 179]
Spot  8 :  [160, 150, 180, 179]
Spot  9 :  [180, 150, 200, 179]
Spot  10 :  [200, 150, 220, 179]
Spot  11 :  [220, 150, 240, 179]
Spot  12 :  [240, 150, 260, 179]
Spot  13 :  [260, 150, 280, 179]
Row 5
Spot  1 :  [20, 181, 40, 209]
Spot  2 :  [40, 181, 60, 209]
Spot  3 :  [60, 181, 80, 209]
Spot  4 :  [80, 181, 100, 209]
Spot  5 :  [100, 181, 120, 209]
Spot  6 :  [120, 181, 140, 209]
Spot  7 :  [140, 181, 160, 209]
Spot  8 :  [160, 181, 180, 209]
Spot  9 :  [180, 181, 200, 209]
Spot  10 :  [200, 181, 220, 209]
Spot  11 :  [220, 181, 240, 209]
Spot  12 :  [240, 181, 260, 209]
Spot  13 :  [260, 181, 280, 209]
Row 6
Spot  1 :  [20, 240, 40, 269]
Spot  2 :  [40, 240, 60, 269]
Spot  3 :  [60, 240, 80, 269]
Spot  4 :  [80, 240, 100, 269]
Spot  5 :  [100, 240, 120, 269]
Spot  6 :  [120, 240, 140, 269]
Spot  7 :  [140, 240, 160, 269]
Spot  8 :  [160, 240, 180, 269]
Spot  9 :  [180, 240, 200, 269]
Spot  10 :  [200, 240, 220, 269]
Spot  11 :  [220, 240, 240, 269]
Spot  12 :  [240, 240, 260, 269]
Spot  13 :  [260, 240, 280, 269]
Row 7
Spot  1 :  [20, 300, 40, 329]
Spot  2 :  [40, 300, 60, 329]
Spot  3 :  [60, 300, 80, 329]
Spot  4 :  [80, 300, 100, 329]
Spot  5 :  [100, 300, 120, 329]
Spot  6 :  [120, 300, 140, 329]
Spot  7 :  [140, 300, 160, 329]
Spot  8 :  [160, 300, 180, 329]
Spot  9 :  [180, 300, 200, 329]
Spot  10 :  [200, 300, 220, 329]
Spot  11 :  [220, 300, 240, 329]
Spot  12 :  [240, 300, 260, 329]
Spot  13 :  [260, 300, 280, 329]
Row 8
Spot  1 :  [0, 330, 20, 359]
Spot  2 :  [20, 330, 40, 359]
Spot  3 :  [40, 330, 60, 359]
Spot  4 :  [60, 330, 80, 359]
Spot  5 :  [80, 330, 100, 359]
Spot  6 :  [100, 330, 120, 359]
Spot  7 :  [120, 330, 140, 359]
Spot  8 :  [140, 330, 160, 359]
Spot  9 :  [160, 330, 180, 359]
Spot  10 :  [180, 330, 200, 359]
Spot  11 :  [200, 330, 220, 359]
Spot  12 :  [220, 330, 240, 359]
Spot  13 :  [240, 330, 260, 359]
Spot  14 :  [260, 330, 280, 359]
Spot  15 :  [280, 330, 300, 359]
